decision_date,execute_date,nav_before,nav_after,pnl,turnover,transaction_cost,w_互联网服务,w_通用设备,w_电池,w_汽车零部件,w_化学制品,w_半导体
2025-11-03,2025-11-04,1000000.0,983958.3128112402,-16041.687188759819,1.0,1000.0,0.25,0.15,0.35,0.15,0.1,0.0
2025-11-04,2025-11-05,983958.3128112402,994529.8224362914,10571.509625051203,0.1657894736842105,163.12993080817927,0.3157894736842105,0.15789473684210525,0.35,0.10526315789473685,0.052631578947368425,0.0
2025-11-05,2025-11-06,994529.8224362914,999610.3474114313,5080.524975139899,0.14473684210526316,143.94510587893691,0.35,0.15,0.35,0.05,0.1,0.0
2025-11-06,2025-11-07,999610.3474114313,999536.2684706775,-74.07894075368023,0.3,299.88310422342937,0.3,0.2,0.25,0.05,0.1,0.1
2025-11-07,2025-11-10,999536.2684706775,999269.4417392422,-266.826731435351,0.29999999999999993,299.8608805412032,0.25,0.25,0.35,0.05,0.1,0.0
2025-11-10,2025-11-11,999269.4417392422,1003867.3540254436,4597.912286201425,0.08157894736842103,81.5193491945171,0.2631578947368421,0.2631578947368421,0.35,0.0,0.10526315789473685,0.0
2025-11-11,2025-11-12,1003867.3540254436,992593.8830635477,-11273.470961895853,0.07105263157894733,71.32741725970253,0.25,0.25,0.35,0.0,0.15,0.0
2025-11-12,2025-11-13,992593.8830635477,1020280.627347871,27686.74428432326,0.07105263157894733,70.52640748083098,0.2631578947368421,0.2631578947368421,0.35,0.0,0.10526315789473685,0.0
2025-11-13,2025-11-14,1020280.627347871,1011721.8245753545,-8558.802772516548,0.13203529053848484,134.7130490626637,0.23121387283236997,0.23121387283236997,0.35,0.0,0.17341040462427745,0.0
2025-11-14,2025-11-17,1011721.8245753545,1023857.5376127926,12135.71303743806,0.05107140153015652,51.67005153971051,0.24296391682130306,0.24296391682130306,0.35,0.0,0.14583909107198711,0.0
2025-11-17,2025-11-18,1023857.5376127926,1005627.2270983203,-18230.310514472272,0.015943158047868805,16.323522540662534,0.24909531112872305,0.24909531112872305,0.35,0.0,0.14951946050501594,0.0
2025-11-18,2025-11-19,1005627.2270983203,993427.9450754295,-12199.282022890786,0.2908676935443376,292.5044721114762,0.23121387283236997,0.11560693641618498,0.35,0.0,0.28901734104046245,0.0
2025-11-19,2025-11-20,993427.9450754295,980719.1798417353,-12708.765233694221,0.14537572254335251,144.42030531009848,0.25000000000000006,0.10000000000000002,0.30000000000000004,0.0,0.35,0.0
2025-11-20,2025-11-21,980719.1798417353,937670.3524313263,-43048.827410409045,0.20000000000000012,196.1438359683472,0.25,0.1,0.2,0.1,0.35,0.0
2025-11-21,2025-11-24,937670.3524313263,955523.8003267423,17853.447895416084,0.3,281.3011057293979,0.3,0.1,0.15,0.1,0.25,0.1
2025-11-24,2025-11-25,955523.8003267423,970625.5642230597,15101.763896317287,0.10000000000000003,95.55238003267426,0.35,0.1,0.1,0.1,0.25000000000000006,0.1
2025-11-25,2025-11-26,970625.5642230597,968171.6986512588,-2453.865571800908,0.30000000000000004,291.18766926691796,0.35,0.05,0.05,0.05,0.25,0.25
2025-11-26,2025-11-27,968171.6986512588,970477.5446499267,2305.8459986678645,0.30000000000000004,290.45150959537773,0.35,0.0,0.0,0.0,0.30000000000000004,0.35
2025-11-27,2025-11-28,970477.5446499267,978217.6512942956,7740.106644368827,0.6112676056338027,593.2214850395326,0.35,0.21126760563380279,0.0,0.0,0.35,0.0
